DOMINANT VN-PAIR CN-STATUS REPORT
Eb/N0 = 14.0 dB
============================================================

Dominant pair: (v_26, v_31)
Connected CNs: [9 22]
Number of failed frames: 115

Frame-by-frame CN status:
------------------------------------------------------------
Frame 99508: CN 3 = UNSATISFIED, CN 21 = satisfied
Frame 101381: CN 3 = satisfied, CN 21 = UNSATISFIED
Frame 101983: CN 3 = UNSATISFIED, CN 21 = satisfied
Frame 102938: CN 3 = satisfied, CN 21 = UNSATISFIED
Frame 104983: CN 3 = UNSATISFIED, CN 21 = satisfied
Frame 122703: CN 3 = satisfied, CN 21 = UNSATISFIED
Frame 123828: CN 3 = UNSATISFIED, CN 21 = satisfied
Frame 125794: CN 3 = satisfied, CN 21 = UNSATISFIED
Frame 127454: CN 3 = satisfied, CN 21 = UNSATISFIED
Frame 130812: CN 3 = UNSATISFIED, CN 21 = satisfied
Frame 135340: CN 3 = satisfied, CN 21 = UNSATISFIED
Frame 138968: CN 3 = satisfied, CN 21 = UNSATISFIED
Frame 139387: CN 3 = satisfied, CN 21 = UNSATISFIED
Frame 145569: CN 3 = satisfied, CN 21 = UNSATISFIED
Frame 148099: CN 3 = satisfied, CN 21 = UNSATISFIED
Frame 148203: CN 3 = satisfied, CN 21 = UNSATISFIED
Frame 150952: CN 3 = UNSATISFIED, CN 21 = satisfied
Frame 153748: CN 3 = satisfied, CN 21 = UNSATISFIED
Frame 154042: CN 3 = satisfied, CN 21 = UNSATISFIED
Frame 155677: CN 3 = UNSATISFIED, CN 21 = satisfied
Frame 156650: CN 3 = satisfied, CN 21 = UNSATISFIED
Frame 159220: CN 3 = satisfied, CN 21 = UNSATISFIED
Frame 161354: CN 3 = satisfied, CN 21 = UNSATISFIED
Frame 162125: CN 3 = satisfied, CN 21 = UNSATISFIED
Frame 166677: CN 3 = satisfied, CN 21 = UNSATISFIED
Frame 170910: CN 3 = UNSATISFIED, CN 21 = satisfied
Frame 176929: CN 3 = satisfied, CN 21 = UNSATISFIED
Frame 179327: CN 3 = satisfied, CN 21 = UNSATISFIED
Frame 181050: CN 3 = satisfied, CN 21 = UNSATISFIED
Frame 184126: CN 3 = UNSATISFIED, CN 21 = satisfied
Frame 185719: CN 3 = UNSATISFIED, CN 21 = satisfied
Frame 193957: CN 3 = satisfied, CN 21 = UNSATISFIED
Frame 194794: CN 3 = satisfied, CN 21 = UNSATISFIED
Frame 195151: CN 3 = UNSATISFIED, CN 21 = satisfied
Frame 195371: CN 3 = UNSATISFIED, CN 21 = satisfied
Frame 197070: CN 3 = UNSATISFIED, CN 21 = satisfied
Frame 198865: CN 3 = satisfied, CN 21 = UNSATISFIED
Frame 199055: CN 3 = satisfied, CN 21 = UNSATISFIED
Frame 204360: CN 3 = satisfied, CN 21 = UNSATISFIED
Frame 205742: CN 3 = satisfied, CN 21 = UNSATISFIED
Frame 209658: CN 3 = satisfied, CN 21 = UNSATISFIED
Frame 216106: CN 3 = satisfied, CN 21 = UNSATISFIED

CN-status summary:
------------------------------------------------------------
CN 3: UNSATISFIED in 24 frames, satisfied in 48 frames
CN 21: UNSATISFIED in 48 frames, satisfied in 24 frames

============================================================

